;Item;Patrimônio;Sit. Física;Valor de Aquisição;Valor Bruto Atual;Descrição
;285;00008344;INSERVÍVEL;854;854;"APARELHO TELEFONICO SEM FIO COM HEADSET - SERIE: 0166F2F800 - MARCA: SIEMENS - MODELO: GIGASET C385 - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.
"
;286;00008347;INSERVÍVEL;854;854;"APARELHO TELEFONICO SEM FIO COM HEADSET - SERIE: 0166F2F260 - MARCA: SIEMENS - MODELO: GIGASET C385 - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.
"
;287;00008350;INSERVÍVEL;854;854;"APARELHO TELEFONICO SEM FIO COM HEADSET - SERIE: 01666CEFC0 - MARCA: SIEMENS - MODELO: GIGASET C385 - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.
"
;288;00008351;INSERVÍVEL;854;854;"APARELHO TELEFONICO SEM FIO COM HEADSET - SERIE: 0166F1EE60 - MARCA: SIEMENS - MODELO: GIGASET C385 - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.
"
;289;00008352;INSERVÍVEL;854;854;"APARELHO TELEFONICO SEM FIO COM HEADSET - SERIE: 0166F2AB00 - MARCA: SIEMENS - MODELO: GIGASET C385 - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.
"
;290;00008354;INSERVÍVEL;854;854;"APARELHO TELEFONICO SEM FIO COM HEADSET - SERIE: 01666DE640 - MARCA: SIEMENS - MODELO: GIGASET C385 - DESCRICAO: TELEFONE GIGASET C38H, HEADSET PLANTRONICS.
"
;291;00008369;INSERVÍVEL;459,79;459,79;"CORTADOR DE GRAMA ELÉTRICO - MARCA: GARTHEN - MODELO: GC-1100
"
;292;00008370;INSERVÍVEL;185;185;"CARRINHO DE MÃO - MARCA: TRAMONTINA - DESCRICAO: COM CAÇAMBA EM POLIPROPILENO.
"
;293;00008389;INSERVÍVEL;2049;2049;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW - MARCA: DATEN - MODELO: DT02 M5 - SERIE: 00250658
"
;294;00008391;INSERVÍVEL;2049;2049;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW - MARCA: DATEN - MODELO: DT02 M5 - SERIE: 00250776
"
;295;00008393;INSERVÍVEL;2049;2049;"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE 2 DUO P8600/2GB/HD 160GB/DVD-RW - MARCA: DATEN - MODELO: DT02 M5 - SERIE: 00250711
"
;296;00008433;INSERVÍVEL;338;338;"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA - MARCA: SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z701310R
"
;297;00008435;INSERVÍVEL;338;338;"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA - MARCA: SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z602490Y
"
;298;00008437;INSERVÍVEL;338;338;"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA - MARCA: SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z701350T
"
;299;00008439;INSERVÍVEL;338;338;"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA - MARCA: SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z505124H
"
;300;00008441;INSERVÍVEL;338;338;"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA - MARCA: SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z500773H
"
;301;00008442;INSERVÍVEL;338;338;"CÂMERA FOTOGRÁFICA DIGITAL - DESCRICAO: COR PRATA - MARCA: SAMSUNG - MODELO: ES70 - SERIE: 0942C90Z701096Z
"
;302;00008505;INSERVÍVEL;360;111,6;"BEBEDOURO DE AGUA TIPO GARRAFAO - DESCRICAO: TIPO COLUNA, EM AÇO INOX. - MARCA: LIBELL - MODELO: MASTER
"
;303;00008521;INSERVÍVEL;2271;2271;"CENTRAL DE AR CONDICIONADO - DESCRICAO: APARELHO DE AR-CONDICIONADO COM CAPACIDADE DE
REFRIGERAÇÃO DE 30.000 BTUS, TENSÃO 110/220V, U.EX. C101261560810A26130005 - MARCA: MIDEA - MODELO: MSE1-30CR - SERIE: C101236701710728120371
"
;304;00008550;INSERVÍVEL;299,97;299,97;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA. - MARCA: HP - MODELO: L190HB - SERIE: BRG1110JPT
"
;305;00008552;INSERVÍVEL;299,97;299,97;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA. - MARCA: HP - MODELO: L190HB - SERIE: BRG1110JPH
"
;306;00008554;INSERVÍVEL;299,97;299,97;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA. - MARCA: HP - MODELO: L190HB - SERIE: BRG1110JPC
"
;307;00008562;INSERVÍVEL;299,97;299,97;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA. - MARCA: HP - MODELO: L190HB - SERIE: BRG1110JPK
"
;308;00008563;INSERVÍVEL;299,97;299,97;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, COR PRETA. - MARCA: HP - MODELO: L190HB - SERIE: BRG1110JPP
"
;309;00008572;INSERVÍVEL;269,99;269,99;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN. - MARCA: ITAUTEC - MODELO: L190HB - SERIE: 2025680
"
;310;00008581;INSERVÍVEL;269,99;269,99;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN. - MARCA: ITAUTEC - MODELO: L190HB - SERIE: 2026220
"
;311;00008590;INSERVÍVEL;269,99;269,99;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN. - MARCA: ITAUTEC - MODELO: L190HB - SERIE: 2025739
"
;312;00008596;INSERVÍVEL;269,99;269,99;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN. - MARCA: ITAUTEC - MODELO: L190HB - SERIE: 2028659
"
;313;00008613;INSERVÍVEL;269,99;269,99;"MONITOR DE VIDEO LCD - DESCRICAO: 19 POLEGADAS, WIDESCREEN. - MARCA: ITAUTEC - MODELO: L190HB - SERIE: 2026213
"
;314;00008615;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100255
"
;315;00008616;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100076
"
;316;00008617;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000212
"
;317;00008618;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800228
"
;318;00008620;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100337
"
;319;00008621;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000191
"
;320;00008622;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800341
"
;321;00008623;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100339
"
;322;00008625;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4002739500377
"
;323;00008628;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100338
"
;324;00008630;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100335
"
;325;00008633;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4002739500388
"
;326;00008634;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000376
"
;327;00008635;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800074
"
;328;00008636;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100330
"
;329;00008637;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100297
"
;330;00008638;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100308
"
;331;00008641;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800183
"
;332;00008642;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000165
"
;333;00008643;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100350
"
;334;00008644;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000389
"
;335;00008647;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100346
"
;336;00008648;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000099
"
;337;00008649;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100155
"
;338;00008650;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007000267
"
;339;00008651;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100048
"
;340;00008652;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100256
"
;341;00008654;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100314
"
;342;00008655;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800213
"
;343;00008657;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003006800169
"
;344;00008658;INSERVÍVEL;1235,75;1235,75;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: ITAUTEC - MODELO: INFOWAY SM 3330 - SERIE: 4003007100128
"
;345;00008708;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 5713140145
"
;346;00008711;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 5713140136
"
;347;00008717;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 5713720134
"
;348;00008720;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 5713140134
"
;349;00008723;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 5713140120
"
;350;00008727;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 5713140148
"
;351;00008729;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 5713140149
"
;352;00008737;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 5713140126
"
;353;00008743;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 5713140150
"
;354;00008747;INSERVÍVEL;175;67,58;"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V. - MARCA: APC - SERIE: 571372130
"
;355;00008769;INSERVÍVEL;1407,55;1407,55;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: POSITIVO - MODELO: I5PE - SERIE: 1A331CG4B
"
;356;00008776;INSERVÍVEL;1407,55;1407,55;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: POSITIVO - MODELO: I5PE - SERIE: 1A3340V81
"
;357;00008780;INSERVÍVEL;1407,55;1407,55;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: POSITIVO - MODELO: I5PE - SERIE: 1A3340W3F
"
;358;00008789;INSERVÍVEL;1407,55;1407,55;"MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB - MARCA: POSITIVO - MODELO: I5PE - SERIE: 1A3340Z15
"
;359;00008826;INSERVÍVEL;1210;1210;"IMPRESSORA MATRICIAL - DESCRICAO: . - MARCA: EPSON - MODELO: LQ-590 - SERIE: FSRY023247
"
;360;00008828;INSERVÍVEL;1210;1210;"IMPRESSORA MATRICIAL - DESCRICAO: . - MARCA: EPSON - MODELO: LQ-590 - SERIE: FSRY024170
"
;361;00008838;INSERVÍVEL;3999;1539,82;"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, PISO-TETO, 48.000 BTU'S. UN. EXTERNA: C101342370911424130035 - MARCA: KOMECO - MODELO: KOP48FC - SERIE: C101342370211402130020
"
;362;00008839;INSERVÍVEL;3999;1539,82;"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, PISO-TETO, 48.000 BTU'S. UN. EXTERNA: C101342370911424130037 - MARCA: KOMECO - MODELO: KOP48FC - SERIE: C101342370211402130002
"
;363;00008840;INSERVÍVEL;3999;1539,82;"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, PISO-TETO, 48.000 BTU'S. UN. EXTERNA: C101342370911424130001 - MARCA: KOMECO - MODELO: KOP48FC - SERIE: C101342370211402130032
"
