,Item,Patrimônio,,,,Garantia,,,,Modelo,Descrição
,63,3904,,,,30/10/2002 a 30/10/2003,,,,EC-971B,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE
,64,3909,,,,30/10/2002 a 30/10/2003,,,,EC-971B,APARELHO DE VIDEO CASSETE - DESCRICAO: DE 4 CABEÇAS C/ CONTROLE
,65,3911,,,,30/10/2002 a 30/10/2003,,,,,HUB-CONCENTRADOR DE COMUNICACAO COM 12 PORTAS - DESCRICAO: CONECTOR RJ45
,66,3913,,,,07/11/2002 a 30/10/2003,,,,,"ARMARIO ALTO EM ACO - DESCRICAO: COM 2 PORTAS COM PRATELEIRAS INTERNAS REFORÇADAS, MED. APROX. 2.00X0,40X1,00, COR CINZA"
,67,3977,,,,11/11/2002 a 11/11/2003,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: DE 30.000 BETUS 220 WATS
,68,4013,,,,12/12/2002 a 08/12/2003,,,,38BR,"SCANNER DE MESA - DESCRICAO: EASYSCAN 450P,19200DPI"
,69,4038,,,,16/01/2003 a 07/02/2005,,,,,CPU DO SERVIDOR E SERVER 342 PIII
,70,4039,,,,16/01/2003 a 07/02/2005,,,,,SWITCH SERVER - DESCRICAO: KVM
,71,4043,,,,22/01/2003 a 13/01/2004,,,,500,"IMPRESSORA JATO DE TINTA - DESCRICAO: TIPO PLOTTER. PRÓPRIA PARA PARA DESENHOS DE ARQUITETURA, ENGENHARIA E MECÂNICA. MEMÓRIA PADRÃO 16MB. RESOLUÇÃO MÁXIMA 1200 X 600 DPI. DIMENSÕES (LARGURA X ALTURA X PROFUNDIDADE): 1690 X 1100 X 674 MM."
,72,4094,,,,04/02/2003 a 22/01/2004,,,,5003,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL"
,73,4120,,,,04/02/2003 a 22/01/2004,,,,5003,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL"
,74,4124,,,,04/02/2003 a 22/01/2004,,,,5003,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL"
,75,4125,,,,04/02/2003 a 22/01/2004,,,,5003,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇO, COR AZUL"
,76,4142,,,,17/02/2003 a 23/01/2004,,,,1516,"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM TAMPO DE AGLORAMERADO REVEST. EM MELAMINIO C/REG. DE ALT. DA BASE P/TEC., TAMPO MED. 0,90X0,70X0,75M"
,77,4150,,,,17/02/2003 a 23/01/2004,,,,1516,"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM TAMPO DE AGLORAMERADO REVEST. EM MELAMINIO C/REG. DE ALT. DA BASE P/TEC., TAMPO MED. 0,90X0,70X0,75M"
,78,4158,,,,17/02/2003 a 23/01/2004,,,,1516,"MESA PARA MICROCOMPUTADOR - DESCRICAO: COM TAMPO DE AGLORAMERADO REVEST. EM MELAMINIO C/REG. DE ALT. DA BASE P/TEC., TAMPO MED. 0,90X0,70X0,75M"
,79,4164,,,,04/02/2003 a 22/01/2004,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 30.000 BTUS
,80,4231,,,,26/05/2003 a 26/05/2004,,,,,"RACK EM ACO PARA HUB - DESCRICAO: PORTA EM ACRÍLICO, DE PAREDE, PARA HUB DE PORTAS."
,81,4291,,,,11/07/2003 a 11/07/2004,,,,,REFRIGERADOR TIPO RESIDENCIAL
,82,4299,,,,,,,,,"ARMARIO SUSPENSO EM MADEIRA - DESCRICAO: EM MADEIRA DE LEI, MEDINDO 0,60X1,51X0,40M"
,83,4311,,,,,,,,,"MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: EM CURVA COM 6 GAVETAS MEDINDO 1,50X232 CM DE COMPRIMENTO"
,84,4317,,,,28/07/2003 a 28/07/2004,,,,,"MESA PARA REUNIAO  EM MELAMINIO - DESCRICAO: FORMATO OVAL , MEDINDO 2,30X1,20X0,74M NA CINZA."
,85,4411,,,,28/11/2003 a 19/11/2004,,,,,MALETA PARA DOCUMENTOS
,86,4450,,,,11/06/2004 a 09/06/2005,,,,EL-1801P,"CALCULADORA  PROFISSIONAL DE MESA - DESCRICAO: COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM"
,87,4454,,,,11/06/2004 a 09/06/2005,,,,EL-1801P,"CALCULADORA  PROFISSIONAL DE MESA - DESCRICAO: COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM"
,88,4457,,,,11/06/2004 a 09/06/2005,,,,EL-1801P,"CALCULADORA  PROFISSIONAL DE MESA - DESCRICAO: COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM"
,89,4496,,,,,,,,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: EM MELAMÍNIO, MEDINDO 1,60 X 0,68 X 0.74 M"
,90,4565,,,,30/06/2004 a 28/06/2005,,,,,MESA PARA ESCRITORIO EM MADEIRA - DESCRICAO: MAÇICA MEDINDO 160X76X74 COM 6 GAVETAS
,91,4633,,,,06/07/2004 a 02/07/2005,,,,,ARQUIVO EM ACO - DESCRICAO: COM 4 GAVETAS
,92,4647,,,,06/07/2004 a 01/07/2005,,,,,NO BREAK . - DESCRICAO: 1200 VA NET STATION
,93,4659,,,,07/07/2004 a 07/07/2005,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTUS
,94,4660,,,,07/07/2004 a 07/07/2005,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTUS
,95,4665,,,,07/07/2004 a 07/07/2005,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTUS
,96,4880,,,,,,,,,"ARMARIO ALTO EM  MELAMINIO - DESCRICAO: COM 2 PORTAS MEDINDO 1,60X40X1.00."
,97,4881,,,,,,,,,"ARMARIO ALTO EM  MELAMINIO - DESCRICAO: COM 2 PORTAS MEDINDO 1,60X40X1.00."
,98,4889,,,,,,,,,"ESTANTE EM ACO - DESCRICAO: COM 5 PRATELEIRAS, MED. 3,00X0,60X16M"
