,Item,Patrimônio,,Nº Antigo,,,,,Descrição,,,Garantia,Marca,,,Modelo,,Série,
,"94,",00004660,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTUS,,,07/07/2004 a 07/07/2005,SPRINGER,,,,,S2304B08761,
,"95,",00004665,,,,,,,CONDICIONADOR DE AR DE PAREDE - DESCRICAO: 21.000 BTUS,,,07/07/2004 a 07/07/2005,SPRINGER,,,,,S2304B08647,
,"96,",00004880,,,,,,,"ARMARIO ALTO EM  MELAMINIO - DESCRICAO: COM 2 PORTAS MEDINDO 1,60X40X1.00.",,,,,,,,,,
,"97,",00004881,,,,,,,"ARMARIO ALTO EM  MELAMINIO - DESCRICAO: COM 2 PORTAS MEDINDO 1,60X40X1.00.",,,,,,,,,,
,"98,",00004889,,,,,,,"ESTANTE EM ACO - DESCRICAO: COM 5 PRATELEIRAS, MED. 3,00X0,60X16M",,,,,,,,,,
,"99,",00004892,,,,,,,EXTINTOR DE INCENDIO PÓ QUÍMICO PRESSURIZADO - DESCRICAO: 4 KG,,,28/07/2004 a 27/07/2005,,,,,,,
,"100,",00004894,,,,,,,"ESTANTE EM ACO - DESCRICAO: COM 5 PRATELEIRAS, MED. 3,00X0,60X16M",,,,,,,,,,
,"101,",00004923,,,,,,,CARRINHO COM BANDEIJA PLÁSTICA - DESCRICAO: ESTRUTURA EM AÇO NA COR PRETA,,,,,,,,,,
,"102,",00004945,,,,,,,DVD PLAYER,,,13/08/2004 a 01/08/2005,COBY,,,DVD-218,,1233143439,
,"103,",00004965,,,,,,,"BANCADA DE TRABALHO . - DESCRICAO: COM 3,00X0,50X0,82CM, RODÍZIO COM FREIOS, 16 TOMADAS FÊMEAS BIPOLAR E CABO COM TOMADA",,,,,,,,,,
,"104,",00005002,,,,,,,"ARMARIO ALTO EM  MELAMINIO - DESCRICAO: COM DUAS PORTAS NA COR CINZA - MEDINDO 0,90X0,44X1,60M.",,,,GIOBEL,,,,,,
,"105,",00005026,,,,,,,SECADOR DE CABELO PORTATIL,,,20/09/2004 a 20/09/2004,DAIHATSU,,,TAIFF TURBO,,,
,"106,",00005045,,,,,,,"MESA PARA MICROCOMPUTADOR - DESCRICAO: EM MELAMINIO, MED. 1,70X0,68X0,75",,,18/10/2004 a 15/04/2005,GIOBEL,,,,,,
,"107,",00005048,,,,,,,APARELHO DE FAX,,,28/10/2004 a 14/09/2004,PANASONIC,,,KX-FT71LA-B,,4DBBA291130,
,"108,",00005049,,,,,,,APARELHO DE FAX,,,28/10/2004 a 14/09/2004,PANASONIC,,,KX-FT71LA-B,,4DBBA292264,
,"109,",00005052,,,,,,,APARELHO DE FAX,,,28/10/2004 a 14/09/2004,PANASONIC,,,KX-FT71LA-B,,4DBBA285337,
,"110,",00005056,,,,,,,APARELHO DE FAX,,,28/10/2004 a 14/09/2004,PANASONIC,,,KX-FT71LA-B,,4DBBA292435,
,"111,",00005267,,,,,,,"MOTO BOMBA CENTRIFUGA - DESCRICAO: MONO-ESTÁGIO 1 1/2 CV/220V, SUCCÃO 1""1/4 E CHAVE DE COMANDO 1 1/2CV 220V",,,02/12/2004 a 01/12/2005,SCHNEIDER,,,BC-92S HB,,85070725300010,
,"112,",00005273,,,,,,,MESA PARA MICROCOMPUTADOR - DESCRICAO: EM MADEIRA MEDINDO 120X075X060 COM 01 GAVETA PARA TECLADO,,,16/12/2004 a 09/06/2005,,,,,,,
,"113,",00005330,,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: COM 6 KG,,,,,,,,,,
,"114,",00005331,,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: COM 6 KG,,,,,,,,,,
,"115,",00005507,,,,,,,CADEIRA  GIRATÓRIA S/BRAÇOS - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA,,,,,,,,,,
,"116,",00005509,,,,,,,CADEIRA  GIRATÓRIA S/BRAÇOS - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA,,,,,,,,,,
,"117,",00005521,,,,,,,CADEIRA FIXA S/BRAÇO - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL,,,,,,,,,,
,"118,",00005526,,,,,,,CADEIRA FIXA S/BRAÇO - DESCRICAO: COM ASSENTO E ENCOSTO EM ESPUMA INJETÁVEL,,,,,,,,,,
,"119,",00005612,,,,,,,POLTRONA FIXA COM BRAÇO,,,,,,,,,,
,"120,",00005626,,,,,,,MESA PARA REUNIÃO - DESCRICAO: EM FORMA REDONDA,,,,,,,,,,
,"121,",00005630,,,,,,,MESA INTEGRADA - DESCRICAO: COM PAINEL FRONTAL E HORIZONTAL COM 4 SUPORTES PARA CPU,,,,,,,,,,
,"122,",00005740,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA,,,,,,,,,,
,"123,",00005741,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA,,,,,,,,,,
