Item;Patrimônio;Garantia;Garantia_fim;Marca;Modelo;Série;Modelo;Descrição;
86;4450;11/06/2004 ; 09/06/2005;;SHARP;EL-1801P;CALCULADORA  PROFISSIONAL DE MESA ; COM VISOR; FITA E BOBINA; VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES; CALCULOS DE PORCENTAGEM;;
87;4454;11/06/2004 ; 09/06/2005;;SHARP;EL-1801P;CALCULADORA  PROFISSIONAL DE MESA ; COM VISOR; FITA E BOBINA; VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES; CALCULOS DE PORCENTAGEM;;
88;4457;11/06/2004 ; 09/06/2005;;SHARP;EL-1801P;CALCULADORA  PROFISSIONAL DE MESA ; COM VISOR; FITA E BOBINA; VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES; CALCULOS DE PORCENTAGEM;;
89;4496;;;;;;MESA PARA MICROCOMPUTADOR ; EM MELAMÍNIO; MEDINDO 1;60 X 0;68 X 074 M;;
90;4565;30/06/2004 ; 28/06/2005;;LUDNA;;MESA PARA ESCRITORIO EM MADEIRA ; MAÇICA MEDINDO 160X76X74 COM 6 GAVETAS;
91;4633;06/07/2004 ; 02/07/2005;;PANDIM;;ARQUIVO EM ACO ; COM 4 GAVETAS;
92;4647;06/07/2004 ; 01/07/2005;;SMS;;NO BREAK  ; 1200 VA NET STATION;
93;4659;07/07/2004 ; 07/07/2005;;SPRINGER;;CONDICIONADOR DE AR DE PAREDE ; 21000 BTUS;
94;4660;07/07/2004 ; 07/07/2005;;SPRINGER;;CONDICIONADOR DE AR DE PAREDE ; 21000 BTUS;
95;4665;07/07/2004 ; 07/07/2005;;SPRINGER;;CONDICIONADOR DE AR DE PAREDE ; 21000 BTUS;
96;4880;;;;;;ARMARIO ALTO EM  MELAMINIO ; COM 2 PORTAS MEDINDO 1;60X40X100;;
97;4881;;;;;;ARMARIO ALTO EM  MELAMINIO ; COM 2 PORTAS MEDINDO 1;60X40X100;;
