;Item;Patrimônio;Sit Física;Valor de Aquisição;Valor Bruto Atual;Descrição;Caracteristicas;;
;79;4164;INSERVÍVEL;1833,33;183,33;CONDICIONADOR DE AR DE PAREDE;30000 BTUS;SPRINGER - SERIE: 033B10975;
;80;4231;INSERVÍVEL;230;23;RACK EM ACO PARA HUB;PORTA EM ACRÍLICO, DE PAREDE, PARA HUB DE PORTAS;;
;81;4291;INSERVÍVEL;633;63,3;REFRIGERADOR TIPO RESIDENCIAL;CONSUL - SERIE: JF3273309;;
;82;4299;INSERVÍVEL;210;21;ARMARIO SUSPENSO EM MADEIRA;EM MADEIRA DE LEI, MEDINDO 0,60X1,51X0,40M;;
;83;4311;INSERVÍVEL;862,5;86,25;MESA PARA ESCRITORIO EM MADEIRA;EM CURVA COM 6 GAVETAS MEDINDO 1,50X232 CM DE COMPRIMENTO;;
;84;4317;INSERVÍVEL;620;62;MESA PARA REUNIAO  EM MELAMINIO;FORMATO OVAL , MEDINDO 2,30X1,20X0,74M NA CINZA;;
;85;4411;INSERVÍVEL;120;12;MALETA PARA DOCUMENTOS;PRINCE;;
;86;4450;INSERVÍVEL;228;22,8;CALCULADORA  PROFISSIONAL DE MESA;COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM;SHARP - MODELO: EL-1801P - SERIE: 3D063245;
;87;4454;INSERVÍVEL;228;22,8;CALCULADORA  PROFISSIONAL DE MESA;COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM;SHARP - MODELO: EL-1801P - SERIE: 3D05335Y;
;88;4457;INSERVÍVEL;228;22,8;CALCULADORA  PROFISSIONAL DE MESA;COM VISOR, FITA E BOBINA, VISOR DE CRISTAL LIQUIDO COM NUMEROS GRANDES, CALCULOS DE PORCENTAGEM;SHARP - MODELO: EL-1801P - SERIE: 3D05333Y;
;89;4496;INSERVÍVEL;228;22,8;MESA PARA MICROCOMPUTADOR;EM MELAMÍNIO, MEDINDO 1,60 X 0,68 X 074 M;;
;90;4565;INSERVÍVEL;500;50;MESA PARA ESCRITORIO EM MADEIRA;MAÇICA MEDINDO 160X76X74 COM 6 GAVETAS;LUDNA;
;91;4633;INSERVÍVEL;235;23,5;ARQUIVO EM ACO;COM 4 GAVETAS;PANDIM;
;92;4647;INSERVÍVEL;398;39,8;NO BREAK ;1200 VA NET STATION;SMS - SERIE: 008399-B;
;93;4659;INSERVÍVEL;1662,5;166,25;CONDICIONADOR DE AR DE PAREDE;21000 BTUS;SPRINGER - SERIE: S2304B08759;
;94;4660;INSERVÍVEL;1662,5;166,25;CONDICIONADOR DE AR DE PAREDE;21000 BTUS;SPRINGER - SERIE: S2304B08761;
;95;4665;INSERVÍVEL;1662,5;166,25;CONDICIONADOR DE AR DE PAREDE;21000 BTUS;SPRINGER - SERIE: S2304B08647;
;96;4880;INSERVÍVEL;360;36;ARMARIO ALTO EM  MELAMINIO;COM 2 PORTAS MEDINDO 1,60X40X100;;
;97;4881;INSERVÍVEL;360;36;ARMARIO ALTO EM  MELAMINIO;COM 2 PORTAS MEDINDO 1,60X40X100;;
;98;4889;INSERVÍVEL;1149,09;114,91;ESTANTE EM ACO;COM 5 PRATELEIRAS, MED 3,00X0,60X16M;;
;99;4892;INSERVÍVEL;104;10,4;EXTINTOR DE INCENDIO PÓ QUÍMICO PRESSURIZADO;4 KG;;
;100;4894;INSERVÍVEL;1149,09;114,91;ESTANTE EM ACO;COM 5 PRATELEIRAS, MED 3,00X0,60X16M;;
;101;4923;INSERVÍVEL;132,22;13,22;CARRINHO COM BANDEIJA PLÁSTICA;ESTRUTURA EM AÇO NA COR PRETA;;
;102;4945;INSERVÍVEL;700;70;DVD PLAYER;COBY - MODELO: DVD-218 - SERIE: 1233143439;;
;103;4965;INSERVÍVEL;492,52;49,25;BANCADA DE TRABALHO ;COM 3,00X0,50X0,82CM, RODÍZIO COM FREIOS, 16 TOMADAS FÊMEAS BIPOLAR E CABO COM TOMADA;;
;104;5002;INSERVÍVEL;247;24,7;ARMARIO ALTO EM  MELAMINIO;COM DUAS PORTAS NA COR CINZA - MEDINDO 0,90X0,44X1,60M;GIOBEL;
;105;5026;INSERVÍVEL;98;9,8;SECADOR DE CABELO PORTATIL;DAIHATSU - MODELO: TAIFF TURBO;;
;106;5045;INSERVÍVEL;169;16,9;MESA PARA MICROCOMPUTADOR;EM MELAMINIO, MED 1,70X0,68X0,75;GIOBEL;
;107;5048;INSERVÍVEL;694;694;APARELHO DE FAX;PANASONIC - MODELO: KX-FT71LA-B - SERIE: 4DBBA291130;;
;108;5049;INSERVÍVEL;694;694;APARELHO DE FAX;PANASONIC - MODELO: KX-FT71LA-B - SERIE: 4DBBA292264;;
;109;5052;INSERVÍVEL;694;694;APARELHO DE FAX;PANASONIC - MODELO: KX-FT71LA-B - SERIE: 4DBBA285337;;
;110;5056;INSERVÍVEL;694;694;APARELHO DE FAX;PANASONIC - MODELO: KX-FT71LA-B - SERIE: 4DBBA292435;;
;111;5267;INSERVÍVEL;594,97;59,5;MOTO BOMBA CENTRIFUGA;MONO-ESTÁGIO 1 1/2 CV/220V, SUCCÃO 11/4 E CHAVE DE COMANDO 1 1/2CV 220V;SCHNEIDER - MODELO: BC-92S HB - SERIE: 85070725300010;
;112;5273;INSERVÍVEL;240;24;MESA PARA MICROCOMPUTADOR;EM MADEIRA MEDINDO 120X075X060 COM 01 GAVETA PARA TECLADO;;
;113;5330;INSERVÍVEL;225;22,5;EXTINTOR DE INCENDIO CO2;COM 6 KG;;
;114;5331;INSERVÍVEL;225;22,5;EXTINTOR DE INCENDIO CO2;COM 6 KG;;
