Item,Patrimonio,Sit Física,Valor de Aquisição,Valor Bruto Atual,Garantia_inicio,Garantia_fim,Modelo,Descricao,Caraacteristicas
516,10223,INSERVIVEL,3187,"987,74",17/09/2014,17/09/2017,U460,ULTRABOOK COM PROCESSADOR DE DADOS,INTEL CORE I5 14 POLEGADAS MEMÓRIA RAM: 4GB HD: 32GB SSD + 500GB COR: PRATA
517,10226,INSERVIVEL,3187,"987,74",17/09/2014,17/09/2017,U460,ULTRABOOK COM PROCESSADOR DE DADOS,INTEL CORE I5 14 POLEGADAS MEMÓRIA RAM: 4GB HD: 32GB SSD + 500GB COR: PRATA
518,10228,INSERVIVEL,3187,"987,74",17/09/2014,17/09/2017,U460,ULTRABOOK COM PROCESSADOR DE DADOS,INTEL CORE I5 14 POLEGADAS MEMÓRIA RAM: 4GB HD: 32GB SSD + 500GB COR: PRATA
519,10231,INSERVIVEL,3187,"987,74",17/09/2014,17/09/2017,U460,ULTRABOOK COM PROCESSADOR DE DADOS,INTEL CORE I5 14 POLEGADAS MEMÓRIA RAM: 4GB HD: 32GB SSD + 500GB COR: PRATA
520,10235,INSERVIVEL,3187,"987,74",17/09/2014,17/09/2017,U460,ULTRABOOK COM PROCESSADOR DE DADOS,INTEL CORE I5 14 POLEGADAS MEMÓRIA RAM: 4GB HD: 32GB SSD + 500GB COR: PRATA
521,10239,INSERVIVEL,3187,"987,74",17/09/2014,17/09/2017,U460,ULTRABOOK COM PROCESSADOR DE DADOS,INTEL CORE I5 14 POLEGADAS MEMÓRIA RAM: 4GB HD: 32GB SSD + 500GB COR: PRATA
522,10247,INSERVIVEL,3187,"987,74",17/09/2014,17/09/2017,U460,ULTRABOOK COM PROCESSADOR DE DADOS,INTEL CORE I5 14 POLEGADAS MEMÓRIA RAM: 4GB HD: 32GB SSD + 500GB COR: PRATA
523,10251,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
524,10254,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
525,10262,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
526,10263,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
527,10275,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
528,10279,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
529,10283,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
530,10285,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
531,10288,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
532,10290,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
533,10291,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
534,10292,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
535,10294,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
536,10298,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
537,10300,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
538,10301,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
539,10306,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
540,10320,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
541,10321,INSERVIVEL,1874,"580,94",,,,NOTEBOOK COM PROCESSADOR,INTEL CORE I5 - 4200M (2 5 GHZ) MEMÓRIA 4GB TELA DE 14 1 POLEGADAS LED FORMATO WIDESCREEN
