Item,Patrimônio,Nº Antigo,Garantia,Marca,Modelo,Série,Descrição
339,8651,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100048,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
340,8652,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100256,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
341,8654,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100314,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
342,8655,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003006800213,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
343,8657,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003006800169,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
344,8658,,31/05/2011 a 31/05/2015,ITAUTEC,INFOWAY SM 3330,4003007100128,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
345,8708,,,APC,,5713140145,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
346,8711,,,APC,,5713140136,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
347,8717,,,APC,,5713720134,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
348,8720,,,APC,,5713140134,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
349,8723,,,APC,,5713140120,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
350,8727,,,APC,,5713140148,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
351,8729,,,APC,,5713140149,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
352,8737,,,APC,,5713140126,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
353,8743,,,APC,,5713140150,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
354,8747,,,APC,,571372130,"NO BREAK . - DESCRICAO: STAY 700 USB, AUT/115, 220V."
355,8769,,17/06/2011 a 17/06/2015,POSITIVO,I5PE,1A331CG4B,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
356,8776,,17/06/2011 a 17/06/2015,POSITIVO,I5PE,1A3340V81,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
357,8780,,17/06/2011 a 17/06/2015,POSITIVO,I5PE,1A3340W3F,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
358,8789,,17/06/2011 a 17/06/2015,POSITIVO,I5PE,1A3340Z15,MICROCOMPUTADOR COM PROCESSADOR - DESCRICAO: 4GB
359,8826,,,EPSON,LQ-590,FSRY023247,IMPRESSORA MATRICIAL - DESCRICAO: .
360,8828,,,EPSON,LQ-590,FSRY024170,IMPRESSORA MATRICIAL - DESCRICAO: .
361,8838,,,KOMECO,KOP48FC,C101342370211402130020,"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, PISO-TETO, 48.000 BTU'S. UN. EXTERNA: C101342370911424130035"
362,8839,,,KOMECO,KOP48FC,C101342370211402130002,"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, PISO-TETO, 48.000 BTU'S. UN. EXTERNA: C101342370911424130037"
363,8840,,,KOMECO,KOP48FC,C101342370211402130032,"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, PISO-TETO, 48.000 BTU'S. UN. EXTERNA: C101342370911424130001"
364,8842,,13/07/2011 a 13/07/2016,,,S78P4319,SERVIDOR DE ARMAZENAMENTO DE DADOS - DESCRICAO: UNIDADE DE BACKUP TAPE LIBRARY
365,8848,,17/11/2011 a 17/11/2014,HP,Z600,BRG135FB4L,MICROCOMPUTADOR TIPO ESTAÇÃO DE TRABALHO - DESCRICAO: 4GB.
366,8853,,,RHEEM,RB1HW24HP2BE,H30ABE051101100661,CENTRAL DE AR CONDICIONADO - DESCRICAO: 30 MIL BTU'S. 220V. UN. EXTERNA: H30ABC051101100065.
367,8867,,,SAMSUNG,SCX-5637FR,Z5W1BAIB700475L,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB.
368,8868,,,SAMSUNG,SCX-5637FR,Z5W1BAKB400572K,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB.
369,8875,,,SAMSUNG,SCX-5637FR,Z5W1BAAB800130R,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB.
370,8877,,,SAMSUNG,SCX-5637FR,Z5W1BAIB700443P,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB.
371,8880,,,SAMSUNG,SCX-5637FR,Z5W1BAIB700418B,IMPRESSORA LASER - DESCRICAO: MULTIFUNCIONAL. CABO USB.
372,8883,,,ELECTROLUX,RE28,14001355,"REFRIGERADOR TIPO RESIDENCIAL - DESCRICAO: 01 PORTA, 240 L, COR BRANCA"
373,8898,,12/12/2011 a 12/12/2012,RHEEM,RB1HW30AC2BS,H30ABE051101100398,"CENTRAL DE AR CONDICIONADO - DESCRICAO: SPLIT, 30.000 BTUS, 220V."
374,8904,,,FLEXFORM,PLUS,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA."
375,8913,,,FLEXFORM,PLUS,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA."
376,8927,,,FLEXFORM,PLUS,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA."
377,8978,,,FLEXFORM,PLUS,,"CADEIRA GIRATORIA EM TECIDO - DESCRICAO: COM BRAÇOS, ESPALDAR MÉDIO, COR PRETA."
378,9030,,,ZEBRA,TLP 2844,41J113702382,IMPRESSORA TÉRMICA
379,9033,,,ZEBRA,TLP 2844,41J113702381,IMPRESSORA TÉRMICA
380,9036,,,ELECTROLUX,PI12F,2712ICBA206,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT. CICLO FRIO. 220V. UN. EXT.: 2712ECBA206.
381,9037,,,ELECTROLUX,PI12F,2712ICBA206,MINI-CENTRAL DE AR CONDICIONADO - DESCRICAO: TIPO SPLIT. 12 MIL BTU'S. CICLO FRIO. 220V. UN. EXT.: 2712ECBA206
382,9046,,,HP,PROBOOK 4430S,BRG207F1F2,"NOTEBOOK COM PROCESSADOR - DESCRICAO: INTEL CORE I3-2330M (2,20GHZ), TELA LED 14"" WIDESCREEN, HD 320 GB STA-2 7200RPM, MEMÓRIA 2GB (DDR3)"
383,9051,,,SAMSUNG,ML-3710ND,Z5HABAGBC02493X,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA.
384,9053,,,SAMSUNG,ML-3710ND,Z5HABAGBC02335P,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA.
385,9059,,,SAMSUNG,ML-3710ND,,IMPRESSORA LASER - DESCRICAO: MONOCROMÁTICA.
386,9104,,,EPSON,LQ-590,FSRY032967,IMPRESSORA MATRICIAL
387,9148,,,TRAMONTINA,BALI,,"MESA DE USO DIVERSO EM PLASTICO - DESCRICAO: RETANGULAR, MEDINDO 1,36 X 0,85 X 0,72 M (COMPRIMENTO X LARGURA X ALTURA). COR BRANCA."
