DATA;TIPO;NR;PROCEDIMENTO;DESCRIÇÃO: MATERIAL / SERVIÇO / PATRONAL;VALOR;DEFERIDO POR;CODIGO;Unidade;TIPO DE EMPENHO;UNIDADE;OBS;COD;TIPO;OBS
28/01/22;EMP;79;2687-38.2021;Aquisição de equipamento de TI - HEADSET;5779,2;SAO;20GPC;33903017;TIC MATCON;STI;170;STI;estimativo;"44589EMP5779;220GPC/33903017-TIC MATCON-STI-170"
28/01/22;EMP;80;2687-38.2021;Aquisição de equipamento de TI - ANTENA WIFI;1000;SAO;20GPC;33903017;TIC MATCON;STI;170;STI;estimativo;44589EMP100020GPC/33903017-TIC MATCON-STI-170
28/01/22;EMP;81;2687-38.2021;Aquisição de equipamento de TI - DISCO SSD;9138;SAO;20GPC;33903017;TIC MATCON;STI;170;STI;estimativo;44589EMP913820GPC/33903017-TIC MATCON-STI-170
28/01/22;EMP;82;2687-38.2021;Aquisição de equipamento de TI - ADAPTADOR VGA;1575,5;SAO;20GPC;33903017;TIC MATCON;STI;170;STI;estimativo;"44589EMP1575;520GPC/33903017-TIC MATCON-STI-170"
28/01/22;EMP;77;406-12.2021;Vigilância eletrônica;34792,15;DG;20GPC;33903977;IEF VIGELE;PROTO;114;PROTO;global;"EMP7734792;1520GPC/33903977-IEF VIGELE-PROTO-114"
02/01/22;INF;14;51-65.2022;Aquisição de Material de Consumo (açúcar);840;SAO;20GPC;33903007;ADM MATAUX;SEALM;140;SEALM;ordinario;INF1484020GPC/33903007-ADM MATAUX-SEALM-140
02/01/22;EMP;106;196-09.2022;Aquisição de gás de cozinha;599,9;SAO;20GPC;33903004;ADM MATAUX;SEAD;117;5ZE;ordinario;"EMP106599;920GPC/33903004-ADM MATAUX-SEAD-117"
04/02/22;EMP;83;2518-51.2021;Programa de Estágio - Taxa Administrativa;725;PRESI;20GPC;33903903;ADM ESTAGI;SEDES;153;SEDES;estimativo;EMP8372520GPC/33903903-ADM ESTAGI-SEDES-153
04/02/22;EMP;84;2518-51.2021;Programa de Estágio - Bolsa Nível Superior;22290;PRESI;20GPC;33903607;ADM ESTAGI;SEDES;152;SEDES;estimativo;EMP842229020GPC/33903607-ADM ESTAGI-SEDES-152
04/02/22;EMP;85;2518-51.2021;Programa de Estágio - Bolsa Nível Médio;3013,33;PRESI;20GPC;33903607;ADM ESTAGI;SEDES;152;SEDES;estimativo;"EMP853013;3320GPC/33903607-ADM ESTAGI-SEDES-152"
04/02/22;EMP;86;2518-51.2021;Programa de Estágio - Auxílio Transporte;2597;PRESI;20GPC;33903607;ADM ESTAGI;SEDES;152;SEDES;estimativo;EMP86259720GPC/33903607-ADM ESTAGI-SEDES-152
04/02/22;EMP;87;1599-62.2021;CT 16/2019 - Serviço de Carregadores;17985,87;PRESI;20GPC;33903701;ADM APOIO;PROTO;109;PROTO;global;"EMP8717985;8720GPC/33903701-ADM APOIO-PROTO-109"
07/02/22;EMP;104;2343-57.2021;CT 36/2027 - Fornecimento de combustíveis - Linkcard;65000;PRESI;20GPC;33903001;ADM MATAUX;SETRAN;155;SETRAN;estimativo;EMP1046500020GPC/33903001-ADM MATAUX-SETRAN-155
07/02/22;EMP;90;-;cancelado;0;PRESI;20GPC;33903947;ADM LOGIST;PROTO;112;PROTO;estimativo;EMP90020GPC/33903947-ADM LOGIST-PROTO-112
08/02/22;EMP;93;11-83.2022;"Serviços de encadernação; plastificação; encadernação e impressão";6135;SAO;20GPC;33903963;ADM APOIO;SEAD;134;SEADE;estimativo;EMP93613520GPC/33903963-ADM APOIO-SEAD-134
08/02/22;EMP;97;187-67.2022;CT 38/2017 - Vigilância Ostensiva Sede TRE;241134,24;PRESI;20GPC;33903703;IEF VIGOST;PROTO;111;PROTO;global;"EMP97241134;2420GPC/33903703-IEF VIGOST-PROTO-111"
07/02/22;EMP;88;162-49.2022;Limpeza predial;245792,5;PRESI;20GPC;33903702;IEF LIMPEZ;SEAD;123;SEADE;global;"EMP88245792;520GPC/33903702-IEF LIMPEZ-SEAD-123"
07/02/22;EMP;89;162-49.2022;Limpeza predial;188440,93;PRESI;20GPC;33903702;IEF LIMPEZ;SEAD;123;SEADE;global;"EMP89188440;9320GPC/33903702-IEF LIMPEZ-SEAD-123"
08/02/22;EMP;91;135-37.2016;Energia elétrica;400000;PRESI;20GPC;33903943;IEF ENERGI;SEAD;129;SEADE;estimativo;EMP9140000020GPC/33903943-IEF ENERGI-SEAD-129
08/02/22;EMP;92;135-37.2016;COSIP - Energia elétrica;15000;PRESI;20GPC;33904722;IEF ENERGI;SEAD;139;SEADE;estimativo;EMP921500020GPC/33904722-IEF ENERGI-SEAD-139
